

GTX260の結果

No	時間幅	頂点配列のサイズ（パディング含む）	経過時間(init)	経過時間(host)	経過時間(device)	カウンタのサイズ	成否
9	10	5892455	9.65707	0.277384	0.017030	240000	1
9	10	5892455	9.76288	0.257867	0.016759	240000	1
9	10	5892455	10.6491	0.290275	0.029812	240000	1
9	10	5892455	9.76993	0.260218	0.017102	240000	1
9	10	5892455	9.48252	0.265397	0.017157	240000	1
9	10	5892455	9.67908	0.266790	0.017022	240000	1
9	10	5892455	9.29968	0.258869	0.016895	240000	1
9	10	5892455	9.34575	0.259593	0.016919	240000	1
9	10	5892455	9.41244	0.258127	0.017057	240000	1
9	10	5892455	9.42785	0.256171	0.016940	240000	1
9	10	5892455	9.29633	0.262610	0.016707	240000	1
9	10	5892455	9.16739	0.260214	0.016613	240000	1
9	10	5892455	9.22637	0.263481	0.016670	240000	1
9	10	5892455	9.22945	0.260352	0.016417	240000	1
9	10	5892455	14.9514	0.531688	0.016520	240000	1
9	10	5892455	14.8066	0.540602	0.016427	240000	1
9	10	5892455	15.2837	0.532927	0.016725	240000	1
9	10	5892455	16.2870	0.563913	0.018179	240000	1
9	10	5892455	14.8765	0.512723	0.016781	240000	1
9	10	5892455	15.5151	0.555533	0.016668	240000	1
9	10	5892455	15.0043	0.536092	0.016952	240000	1
9	10	5892455	15.3655	0.524645	0.016826	240000	1
9	10	5892455	15.2417	0.516587	0.016816	240000	1
9	10	5892455	15.6100	0.517940	0.018132	240000	1

GTX1080の結果
入れ替え直後
No	時間幅	頂点配列のサイズ（パディング含む）	経過時間(init)	経過時間(host)	経過時間(device)	カウンタのサイズ	成否
9	10	5892455	14.6954	0.577688	0.007308	240000	1
9	10	5892455	14.4266	0.513331	0.007289	240000	1
9	10	5892455	15.0311	0.523805	0.008718	240000	1
9	10	5892455	14.6404	0.512215	0.008270	240000	1
9	10	5892455	14.7711	0.589967	0.008096	240000	1


